InsertionSort,100,random,0.080
InsertionSort,100,ascending,0.003
InsertionSort,100,descending,0.157
InsertionSort,500,random,0.330
InsertionSort,500,ascending,0.002
InsertionSort,500,descending,0.290
InsertionSort,1000,random,0.351
InsertionSort,1000,ascending,0.003
InsertionSort,1000,descending,0.489
InsertionSort,5000,random,4.089
InsertionSort,5000,ascending,0.007
InsertionSort,5000,descending,7.470
InsertionSort,20000,random,61.669
InsertionSort,20000,ascending,0.033
InsertionSort,20000,descending,124.133
InsertionSort,50000,random,385.081
InsertionSort,50000,ascending,0.074
InsertionSort,50000,descending,782.973
SelectionSort,100,random,0.118
SelectionSort,100,ascending,0.112
SelectionSort,100,descending,0.126
SelectionSort,500,random,0.350
SelectionSort,500,ascending,0.309
SelectionSort,500,descending,0.307
SelectionSort,1000,random,0.576
SelectionSort,1000,ascending,0.329
SelectionSort,1000,descending,0.362
SelectionSort,5000,random,7.514
SelectionSort,5000,ascending,6.627
SelectionSort,5000,descending,7.116
SelectionSort,20000,random,108.269
SelectionSort,20000,ascending,105.102
SelectionSort,20000,descending,113.605
SelectionSort,50000,random,680.983
SelectionSort,50000,ascending,762.375
SelectionSort,50000,descending,768.587
MergeSort,100,random,0.051
MergeSort,100,ascending,0.018
MergeSort,100,descending,0.006
MergeSort,500,random,0.048
MergeSort,500,ascending,0.028
MergeSort,500,descending,0.025
MergeSort,1000,random,0.103
MergeSort,1000,ascending,0.058
MergeSort,1000,descending,0.056
MergeSort,5000,random,0.624
MergeSort,5000,ascending,0.341
MergeSort,5000,descending,2.601
MergeSort,20000,random,7.205
MergeSort,20000,ascending,0.617
MergeSort,20000,descending,0.749
MergeSort,50000,random,6.023
MergeSort,50000,ascending,1.699
MergeSort,50000,descending,1.875
BubbleSort,100,random,0.226
BubbleSort,100,ascending,0.003
BubbleSort,100,descending,0.281
BubbleSort,500,random,0.634
BubbleSort,500,ascending,0.001
BubbleSort,500,descending,0.438
BubbleSort,1000,random,1.088
BubbleSort,1000,ascending,0.000
BubbleSort,1000,descending,1.000
BubbleSort,5000,random,23.602
BubbleSort,5000,ascending,0.002
BubbleSort,5000,descending,22.685
BubbleSort,20000,random,618.972
BubbleSort,20000,ascending,0.008
BubbleSort,20000,descending,305.602
BubbleSort,50000,random,3969.219
BubbleSort,50000,ascending,0.018
BubbleSort,50000,descending,2011.549
QuickSort,100,random,0.030
QuickSort,100,ascending,0.121
QuickSort,100,descending,0.026
QuickSort,500,random,0.062
QuickSort,500,ascending,0.530
QuickSort,500,descending,0.333
QuickSort,1000,random,0.047
QuickSort,1000,ascending,0.500
QuickSort,1000,descending,0.412
QuickSort,5000,random,0.284
QuickSort,5000,ascending,12.263
QuickSort,5000,descending,9.667
QuickSort,20000,random,1.207
QuickSort,20000,ascending,214.103
QuickSort,20000,descending,158.704
QuickSort,50000,random,3.281
QuickSort,50000,ascending,1293.066
QuickSort,50000,descending,1012.803
